PLANILHA DE DETALHAMENTO DOS PROJETOS APROVADOS NA CONGREGAÇÃO DO IC,,,,,
Unidade Universitária,Órgão Responsável                                     (Dept. ou Coord. Acadêmica),CODIGO,Componente(s) Curricular(es): NOME,Professor Responsável pelo Projeto (Proponente),Professores participantes (Projetos coletivos)
,Departamento de Ciência da Computação,MATA37,INTRODUÇÃO À LÓGICA DE PROGRAMAÇÃO,Rubisley de Paula Lemes,"Eduardo Santana de Almeida, Karl Philips Apaza Aguero, Danilo Barbosa Coimbra, Flavio Morais de Assis Silva"
,,MATA65,Computação Gráfica,Antonio Lopes Apolinário Jr.,
,,MATA40,Estrutura de Dados e Algoritmos I,Antonio Lopes Apolinário Jr.,
,,MATA51,Teoria da Computação,Islame Felipe da Costa Fernandes ,
,,MATA60,Bancos de Dados,Robespierre Dantas da Rocha Pita,"Robespierre Dantas da Rocha Pita, Daniela Barreiro Claro"
,,MATA50,Linguagens Formais e Autômatos,Roberto Freitas Parente,
,,MATA53,Teoria dos grafos,Roberto Freitas Parente,
,,MAT045,Processamento de Dados,Danilo Barbosa Coimbra,"Gustavo Bittencourt Figueiredo, Cassio Vinicius Serafim Prazeres, Rafael Augusto de Melo, Danilo Barbosa Coimbra e Larissa Barbosa Leoncio Pinheiro"
,,MATA55,Programação Orientada à Objetos,Rita Suzana Pitangueira Maciel,Rita Suzana Pitangueira Maciel
,,MATC84,Laboratório de Programação Web,Frederico Araújo Durão,
,,MATA54,Estrutura de Dados e Algoritmos II,George Lima,
,,MATA58,SISTEMAS OPERACIONAIS,Bruno Pereira dos Santos,Bruno Pereira dos Santos e Maycon Leone Maciel Peixoto
,,MATA59,REDES DE COMPUTADORES I,Bruno Pereira dos Santos,Bruno Pereira dos  Santos e Leobino Nascimento Sampaio
,,MATA47,Lógica para Computação,Steffen Lewitzka,
,,MATC73,Introdução à Lógica Matemática,Steffen Lewitzka,
,,MATA56,Paradigmas e Linguagens de Programação,Manoel Mendonça,
,,MATF34,"Programação competitiva – Computação para alunos de ensino médio, fundamental e universitário",Rubisley de Paula Lemes,
,,MATA38,PROJETO DE CIRCUITOS LÓGICOS,Bruno Pereira dos Santos,
,,MATA64,Inteligência Artificial,Luciano Rebouças de Oliveira,
,,MATA57,Laboratório de Programação I,Gilberto de Souza Leite,
,Departamento de Computação Interdisciplinar,MATA68,"Computador, Ética e Sociedade",Débora Abdalla Santos,Igor Sobral Muniz
,,MAT174,Cálculo Numérico,Alirio Santos de Sá,